MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,GalLonJ2000,GalLatJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
2,48915,2491,32349,Gl 244A,Sirius,9 CMa/9Alp CMa/Gl 244A/HD 48915/HIP 32349/HR 2491/HYG 32263/MN 2/Sirius/α CMa,Sirius,α CMa,9 CMa,CMa,6.752481,-16.716116,227.23031654263008,-8.890229808989563,-546.01,-1223.08,-9.4,2.6371,-1.44,-1.333,-1.523,0.009,A0m...,22.824433121735034,-0.494323,2.476731,-0.758485,9.53e-06,-1.207e-05,-1.221e-05,32263,Gl 244,1,1
3,45348,2326,30438,,Canopus,Alp Car/Canopus/HD 45348/HIP 30438/HR 2326/HYG 30365/MN 3/α Car,Canopus,α Car,,Car,6.399195,-52.69566,261.212095920287,-25.29222459499187,19.99,23.67,21.0,94.7867,-0.62,-0.547,-0.667,0.164,F0Ib,13854.791675667217,-5.992679,57.132034,-75.396105,-1.14e-05,2.059e-05,-1.049e-05,30365,,0,1
4,124897,5340,69673,Gl 541,Arcturus,16 Boo/16Alp Boo/Arcturus/Gl 541/HD 124897/HIP 69673/HR 5340/HYG 69450/MN 4/α Boo,Arcturus,α Boo,16 Boo,Boo,14.26103,19.18241,15.050236796788557,69.11116816240336,-1093.45,-1999.4,-5.0,11.2575,-0.05,,,1.239,K2IIIp,115.55799554021291,-8.823448,-5.932531,3.698938,-5.905e-05,3.22e-05,-0.00010473,69451,,0,0
5,128620,5459,71683,Gl 559A,Rigil Kentaurus,Alp1Cen/Gl 559A/HD 128620/HIP 71683/HR 5459/HYG 71455/MN 5/Rigil Kentaurus/α1 Cen,Rigil Kentaurus,α1 Cen,,Cen,14.660765,-60.833976,315.73837486433615,-0.6814983442242185,-3678.19,481.84,-26.2,1.3248,-0.01,0.113,-0.087,0.71,G2V,1.543121065657792,-0.495203,-0.414084,-1.156625,-7.22e-06,2.476e-05,2.491e-05,71456,Gl 559,1,1
6,172167,7001,91262,Gl 721,Vega,3 Lyr/3Alp Lyr/Gl 721/HD 172167/HIP 91262/HR 7001/HYG 90978/MN 6/Vega/α Lyr,Vega,α Lyr,3 Lyr,Lyr,18.61564,38.783692,67.44817342657339,19.23735214480366,201.02,287.46,-12.1,7.6787,0.03,,,-0.001,A0Vvar,49.93441887213498,0.960565,-5.908009,4.809731,4.76e-06,1.734e-05,5.9e-07,90979,,0,0
7,34029,1708,24608,Gl 194A,Capella,13 Aur/13Alp Aur/Capella/Gl 194A/HD 34029/HIP 24608/HR 1708/HYG 24549/MN 7/α Aur,Capella,α Aur,13 Aur,Aur,5.27815,45.997991,162.58844510585186,4.566385987710885,75.52,-427.13,22.2,13.1234,0.08,,,0.795,M1: comp,139.3156802945302,1.712633,8.954439,9.440007,1.92e-06,3.559e-05,-2.54e-06,24549,Gl 194,1,0
8,34085,1713,24436,,Rigel,19 Ori/19Bet Ori/HD 34085/HIP 24436/HR 1713/HYG 24378/MN 8/Rigel/β Ori,Rigel,β Ori,19 Ori,Ori,5.242298,-8.20164,209.24118810390712,-25.245346370124153,1.87,-0.56,21.0,264.5503,0.18,,,-0.03,B8Ia,51665.42425669497,51.601106,256.709905,-37.740051,1.82e-06,2.121e-05,-3.77e-06,24378,,0,0
9,61421,2943,37279,Gl 280A,Procyon,10 CMi/10Alp CMi/Gl 280A/HD 61421/HIP 37279/HR 2943/HYG 37173/MN 9/Procyon/α CMi,Procyon,α CMi,10 CMi,CMi,7.655033,5.224993,213.70223505176477,13.019396679192186,-716.57,-1034.58,-4.0,3.5142,0.4,,,0.432,F5IV-V,7.4404636619191935,-1.469312,3.17617,0.320024,1.212e-05,2.89e-06,-1.792e-05,37173,Gl 280,1,0
10,10144,472,7588,,Achernar,Achernar/Alp Eri/HD 10144/HIP 7588/HR 472/HYG 7574/MN 10/α Eri,Achernar,α Eri,,Eri,1.628556,-57.236757,290.8414237527588,-58.79203983479724,88.02,-40.08,16.0,42.7533,0.45,0.487,0.427,-0.158,B3Vp,1051.9618738232234,21.065573,9.568417,-35.951967,-5.84e-06,1.738e-05,-1.826e-05,7574,,0,1
11,39801,2061,27989,,Betelgeuse,58 Ori/58Alp Ori/Betelgeuse/HD 39801/HIP 27989/HR 2061/HYG 27919/MN 11/α Ori,Betelgeuse,α Ori,58 Ori,Ori,5.919529,7.407063,199.7872351198899,-8.958607228347548,27.33,10.86,21.0,152.6718,0.45,0.571,0.281,1.5,M2Ib,13415.28798266127,3.189296,151.364387,19.682142,-1.98e-05,2.068e-05,1.074e-05,27919,,0,1
12,122451,5267,68702,,Hadar,Bet Cen/HD 122451/HIP 68702/HR 5267/HYG 68482/Hadar/MN 12/β Cen,Hadar,β Cen,,Cen,14.063729,-60.373039,311.7669987443513,1.2510898782317823,-33.96,-25.06,6.0,120.1923,0.61,0.634,0.594,-0.231,B1III,7171.33482657721,-50.954051,-30.56287,-104.478695,-1.89e-06,2.194e-05,-1.255e-05,68483,,0,1
13,187642,7557,97649,Gl 768,Altair,53 Aql/53Alp Aql/Altair/Gl 768/HD 187642/HIP 97649/HR 7557/HYG 97337/MN 13/α Aql,Altair,α Aql,53 Aql,Aql,19.846388,8.868322,47.74412281557933,-8.909181482925108,536.82,385.54,-26.1,5.1295,0.76,0.803,0.753,0.221,A7IV-V,11.376272858234303,2.355468,-4.4873,0.790749,-1.12e-06,3.087e-05,5.36e-06,97338,,0,1
14,108248,4730,60718,,Acrux,Acrux/Alp1Cru/HD 108248/HIP 60718/HR 4730/HYG 60529/MN 14/α1 Cru,Acrux,α1 Cru,,Cru,12.443311,-63.099092,300.12662305791656,-0.3627195057389973,-35.37,-14.73,-11.0,98.7167,0.77,,,-0.243,B0.5IV,4176.379929509739,-44.363755,-5.171957,-88.034513,9.34e-06,1.813e-05,6.84e-06,60530,,0,0
15,29139,1457,21421,Gl 171.1A,Aldebaran,87 Tau/87Alp Tau/Aldebaran/Gl 171.1A/HD 29139/HIP 21421/HR 1457/HYG 21368/MN 15/α Tau,Aldebaran,α Tau,87 Tau,Tau,4.598677,16.509301,180.97190764494312,-20.24830337508239,62.78,-189.36,54.5,20.4332,0.87,0.888,0.858,1.538,K5III,163.23000728189953,7.02722,18.287604,5.806661,1.528e-05,5.709e-05,-2.14e-06,21368,Gl 171.1,1,1
16,0,0,0,Gl 194B,Gl 194B,Gl 194B/HYG 118355/MN 16,,,,Aur,5.277926,46.000842,162.58475849336844,4.56611925822706,80.57,-422.38,33.9,12.9383,0.96,,,0.0,G0 III,60.20048636844592,1.689045,8.828648,9.308413,3.14e-06,4.332e-05,6.54e-06,24549,Gl 194,1,0
17,116658,5056,65474,,Spica,67 Vir/67Alp Vir/HD 116658/HIP 65474/HR 5056/HYG 65268/MN 17/Spica/α Vir,Spica,α Vir,67 Vir,Vir,13.419883,-11.161322,316.11234308262254,50.84455283150581,-42.5,-31.73,1.0,76.5697,0.98,1.001,0.961,-0.235,B1V,2070.1413487910413,-69.990853,-27.285826,-14.82176,-4.54e-06,1.516e-05,-1.175e-05,65269,,0,1
18,148478,6134,80763,,Antares,21 Sco/21Alp Sco/Antares/HD 148478/HIP 80763/HR 6134/HYG 80518/MN 18/α Sco,Antares,α Sco,21 Sco,Sco,16.490128,-26.432002,351.94714065370454,15.064319029889802,-10.16,-23.21,-3.0,169.7793,1.06,1.155,0.995,1.865,M1Ib + B2.5V,9453.660459579653,-58.542602,-140.307591,-75.574766,-3.38e-06,1.36e-05,-1.574e-05,80519,,0,1
19,62509,2990,37826,Gl 286,Pollux,78 Gem/78Bet Gem/Gl 286/HD 62509/HIP 37826/HR 2990/HYG 37718/MN 19/Pollux/β Gem,Pollux,β Gem,78 Gem,Gem,7.755277,28.026199,192.22935072538115,23.406433127495756,-625.69,-45.95,3.6,10.3584,1.16,,,0.991,K0IIIvar,32.09223768048434,-4.055465,8.19518,4.867171,2.624e-05,1.782e-05,-3.1e-07,37718,,0,0
20,216956,8728,113368,Gl 881,Fomalhaut,24 PsA/24Alp PsA/Fomalhaut/Gl 881/HD 216956/HIP 113368/HR 8728/HYG 113007/MN 20/α PsA,Fomalhaut,α PsA,24 PsA,PsA,22.960838,-29.622236,20.48814212322153,-64.90949509978743,329.22,-164.22,6.1,7.7036,1.17,,,0.145,A3V,17.587333541355722,6.450517,-1.799476,-3.807757,5.61e-06,1.12e-05,-8.41e-06,113008,,0,0
21,111123,4853,62434,,Mimosa,Bet Cru/HD 111123/HIP 62434/HR 4853/HYG 62238/MN 21/Mimosa/β Cru,Mimosa,β Cru,,Cru,12.795359,-59.688764,302.4623072840989,3.1795948253550512,-48.24,-12.82,16.0,85.3971,1.25,1.267,1.237,-0.238,B0.5III,2008.1678041839857,-42.168771,-8.909619,-73.723149,-7.73e-06,1.878e-05,-1.681e-05,62239,,0,1
22,197345,7924,102098,,Deneb,50 Cyg/50Alp Cyg/Deneb/HD 197345/HIP 102098/HR 7924/HYG 101766/MN 22/α Cyg,Deneb,α Cyg,50 Cyg,Cyg,20.690532,45.280338,84.28473611060438,1.9975454805688035,1.56,1.55,-5.0,432.9004,1.25,1.294,1.224,0.092,A2Ia,51617.86054966733,197.250632,-232.113407,307.600832,-1.33e-06,6.62e-06,-1.34e-06,101767,,0,1
23,128621,5460,71681,Gl 559B,Toliman,Alp2Cen/Gl 559B/HD 128621/HIP 71681/HR 5460/HYG 71452/MN 23/Toliman/α2 Cen,Toliman,α2 Cen,,Cen,14.660346,-60.8383,315.73382374893913,-0.6842126810309496,-3678.19,481.84,-26.2,1.3248,1.35,,,0.9,K1V,0.4409608164506375,-0.495181,-0.413973,-1.156674,-7.22e-06,2.476e-05,2.491e-05,71456,Gl 559,1,0
24,87901,3982,49669,,Regulus,32 Leo/32Alp Leo/HD 87901/HIP 49669/HR 3982/HYG 49528/MN 24/Regulus/α Leo,Regulus,α Leo,32 Leo,Leo,10.139532,11.967207,226.42736739311505,48.93422324414752,-249.4,4.91,6.0,24.3132,1.36,,,-0.087,B7V,147.09570767969765,-21.018857,11.132218,5.041397,8.56e-06,2.873e-05,1.84e-06,49528,,0,0
25,52089,2618,33579,,Adhara,21 CMa/21Eps CMa/Adhara/HD 52089/HIP 33579/HR 2618/HYG 33492/MN 25/ε CMa,Adhara,ε CMa,21 CMa,CMa,6.977097,-28.972084,239.83106027377264,-11.329750156925892,2.63,2.29,27.0,124.2236,1.5,,,-0.211,B2II,3375.981048554255,-27.497987,105.141608,-60.171969,-7.81e-06,2.362e-05,-1.217e-05,33492,,0,0
26,60179,2891,36850,Gl 278A,Castor,66 Gem/66Alp Gem/Castor/Gl 278A/HD 60179/HIP 36850/HR 2891/HYG 36744/MN 26/α Gem,Castor,α Gem,66 Gem,Gem,7.576634,31.888276,187.4410159487076,22.47929686246386,-206.33,-148.18,6.0,15.5958,1.58,,,0.034,A2Vm,49.43106869868354,-5.311938,12.130011,8.238737,9.83e-06,1.645e-05,-6.27e-06,36744,Gl 278,1,0
27,108903,4763,61084,,Gacrux,Gacrux/Gam Cru/HD 108903/HIP 61084/HR 4763/HYG 60892/MN 27/γ Cru,Gacrux,γ Cru,,Cru,12.519429,-57.113212,300.1691763020897,5.6497505147949845,27.94,-264.33,21.0,27.1518,1.59,,,1.6,M4III,148.45676750522713,-14.606901,-1.998688,-22.800748,1.789e-05,-1.26e-06,-3.693e-05,60893,,0,0
28,158926,6527,85927,,Shaula,35 Sco/35Lam Sco/HD 158926/HIP 85927/HR 6527/HYG 85664/MN 28/Shaula/λ Sco,Shaula,λ Sco,35 Sco,Sco,17.560145,-37.103821,351.7443677434142,-2.2143706440517272,-8.9,-29.95,-3.0,175.1313,1.62,1.656,1.596,-0.231,B1.5IV+...,6008.9695048348585,-16.048583,-138.749793,-105.649898,-5.46e-06,1.854e-05,-1.843e-05,85665,,0,1
29,35468,1790,25336,,Bellatrix,24 Ori/24Gam Ori/Bellatrix/HD 35468/HIP 25336/HR 1790/HYG 25273/MN 29/γ Ori,Bellatrix,γ Ori,24 Ori,Ori,5.418851,6.349702,196.92784750127043,-15.953200602381362,-8.75,-13.28,18.0,77.3994,1.64,,,-0.224,B2III,1152.3913771994878,11.658576,76.036136,8.56012,6.1e-06,1.813e-05,-2.92e-06,25273,,0,0
30,35497,1791,25428,,Elnath,112 Tau/112Bet Tau/Elnath/HD 35497/HIP 25428/HR 1791/HYG 25364/MN 30/β Tau,Elnath,β Tau,112 Tau,Tau,5.438198,28.60745,177.9944041839883,-3.745405913988185,23.28,-174.22,9.0,41.0509,1.65,,,-0.13,B7III,321.21809339879854,5.281578,35.6504,19.655456,-9.7e-07,2.509e-05,-2.603e-05,25364,,0,0
31,80007,3685,45238,,Miaplacidus,Bet Car/HD 80007/HIP 45238/HR 3685/HYG 45106/MN 31/Miaplacidus/β Car,Miaplacidus,β Car,,Car,9.220041,-69.717208,285.9785751748825,-14.407138026875185,-157.66,108.91,-5.0,34.6981,1.67,,,0.07,A2IV,225.32013356294823,-8.980712,8.001552,-32.546536,6.13e-06,3.005e-05,1.115e-05,45106,,0,0
32,37128,1903,26311,,Alnilam,46 Ori/46Eps Ori/Alnilam/HD 37128/HIP 26311/HR 1903/HYG 26246/MN 32/ε Ori,Alnilam,ε Ori,46 Ori,Ori,5.603559,-1.20192,205.2120703523478,-17.24173281157401,1.49,-1.06,26.0,606.0606,1.69,1.717,1.667,-0.184,B0Ia,67483.87308707573,62.775122,602.66691,-12.712683,-1.61e-06,2.683e-05,-3.67e-06,26246,,0,1
33,209952,8425,109268,Gl 848.2,Alnair,Alnair/Alp Gru/Gl 848.2/HD 209952/HIP 109268/HR 8425/HYG 108921/MN 33/α Gru,Alnair,α Gru,,Gru,22.137209,-46.960975,349.9985295714061,-52.47365528097582,127.6,-147.91,10.9,30.9693,1.73,,,-0.07,B7IV,169.82436524617444,18.672505,-9.904001,-22.635193,1.36e-06,2.096e-05,-2.33e-05,108922,,0,0
34,37742,1948,26727,,Alnitak,50 Ori/50Zet Ori/Alnitak/HD 37742/HIP 26727/HR 1948/HYG 26662/MN 34/ζ Ori,Alnitak,ζ Ori,50 Ori,Ori,5.679313,-1.942572,206.45218337815297,-16.58516336095137,3.99,2.54,18.0,225.7336,1.74,,,-0.199,O9.5Ib SB,8937.169608501978,18.918488,224.809409,-7.651875,-2.8e-06,1.879e-05,2.15e-06,26662,,0,0
35,68273,3207,39953,,γ2 Vel,Gam2Vel/HD 68273/HIP 39953/HR 3207/HYG 39840/MN 35/γ2 Vel,,γ2 Vel,,Vel,8.158876,-47.336588,262.80256231233517,-7.685811220310512,-5.93,9.9,35.0,342.4658,1.75,1.767,1.727,-0.145,WC8 + O9I,20379.803862870547,-124.300149,195.993257,-251.831601,-1.115e-05,3.596e-05,-1.518e-05,39840,,0,1
36,112185,4905,62956,,Alioth,77 UMa/77Eps UMa/Alioth/HD 112185/HIP 62956/HR 4905/HYG 62756/MN 36/ε UMa,Alioth,ε UMa,77 UMa,UMa,12.900472,55.959821,122.1802812082722,61.16465073232497,111.74,-8.99,-9.0,25.31,1.76,1.776,1.746,-0.022,A0p,110.2554332102224,-13.775959,-3.309169,20.972944,7.32e-06,-1.234e-05,-8.24e-06,62757,,0,1
37,20902,1017,15863,,Mirfak,33 Per/33Alp Per/HD 20902/HIP 15863/HR 1017/HYG 15824/MN 37/Mirfak/α Per,Mirfak,α Per,33 Per,Per,3.405378,49.86118,146.5686382456676,-5.86244788020861,24.11,-26.01,-2.0,155.2795,1.79,,,0.481,F5Ib,4040.173353730007,62.885098,77.880689,118.708804,-5.55e-06,2.202e-05,-1.419e-05,15824,,0,0
38,169022,6879,90185,,Kaus Australis,20 Sgr/20Eps Sgr/HD 169022/HIP 90185/HR 6879/HYG 89905/Kaus Australis/MN 38/ε Sgr,Kaus Australis,ε Sgr,20 Sgr,Sgr,18.402868,-34.384616,359.1938398896664,-9.807611325496676,-39.61,-124.05,-15.0,43.9367,1.79,,,-0.031,B9.5III,323.2957533680941,3.817188,-36.057831,-24.812975,-1.129e-05,2.654e-05,-1.314e-05,89906,,0,0
39,95689,4301,54061,,Dubhe,50 UMa/50Alp UMa/Dubhe/HD 95689/HIP 54061/HR 4301/HYG 53905/MN 39/α UMa,Dubhe,α UMa,50 UMa,UMa,11.062155,61.751033,142.8485304922739,51.00870206117452,-136.46,-35.25,-9.0,37.679,1.81,,,1.061,F7V comp,233.3458062281002,-17.298705,4.33488,33.191332,4.78e-06,2.45e-05,-1.116e-05,53905,,0,0
40,54605,2693,34444,,Wezen,25 CMa/25Del CMa/HD 54605/HIP 34444/HR 2693/HYG 34354/MN 40/Wezen/δ CMa,Wezen,δ CMa,25 CMa,CMa,7.139857,-26.3932,238.41746999200697,-8.266551076949474,-2.75,3.33,34.0,492.6108,1.83,,,0.671,F8Ia,39192.232245497704,-129.733458,421.761488,-218.979855,-3.92e-06,3.508e-05,-8.33e-06,34354,,0,0
41,120315,5191,67301,,Alkaid,85 UMa/85Eta UMa/Alkaid/HD 120315/HIP 67301/HR 5191/HYG 67087/MN 41/η UMa,Alkaid,η UMa,85 UMa,UMa,13.792354,49.313265,100.69536653942424,65.3224064639449,-121.23,-15.56,-11.0,31.8674,1.85,,,-0.099,B3V SB,160.99040762157054,-18.529548,-9.394541,24.164506,-3.55e-06,1.92e-05,-1.01e-05,67088,,0,0
42,71129,3307,41037,,Avior,Avior/Eps Car/HD 71129/HIP 41037/HR 3307/HYG 40921/MN 42/ε Car,Avior,ε Car,,Car,8.375236,-59.509483,274.2855177804618,-12.60094029659493,-25.34,22.72,2.0,185.5288,1.86,,,1.196,K3III+B2V,5405.053537086696,-54.83708,76.515238,-159.872623,7.66e-06,2.843e-05,8.61e-06,40921,,0,0
43,159532,6553,86228,,Sargas,HD 159532/HIP 86228/HR 6553/HYG 85964/MN 43/Sargas/The Sco/θ Sco,Sargas,θ Sco,,Sco,17.62198,-42.997824,347.13892473729277,-5.975724808204049,6.06,-0.95,1.0,92.081,1.86,,,0.406,F1II,1331.6803762699813,-6.654055,-67.016643,-62.796539,2.65e-06,-7.2e-07,-1.01e-06,85965,,0,0
44,40183,2088,28360,GJ 3375,Menkalinan,34 Aur/34Bet Aur/GJ 3375/HD 40183/HIP 28360/HR 2088/HYG 28288/MN 44/Menkalinan/β Aur,Menkalinan,β Aur,34 Aur,Aur,5.992149,44.947433,167.4568636522084,10.409476556892033,-56.41,-0.88,-19.4,24.8694,1.9,1.967,1.897,0.077,A2V,93.58365435835302,0.036195,17.601288,17.569058,6.77e-06,-1.398e-05,-1.409e-05,28288,,0,1
45,150798,6217,82273,,Atria,Alp TrA/Atria/HD 150798/HIP 82273/HR 6217/HYG 82021/MN 45/α TrA,Atria,α TrA,,TrA,16.811077,-69.027715,321.5357760283855,-15.258806282871156,17.85,-32.92,-3.0,119.7605,1.91,,,1.447,K2IIb-IIIa,2151.7905703397573,-13.127447,-40.804561,-111.826781,1.567e-05,1.486e-05,-3.98e-06,82022,,0,0
46,47105,2421,31681,,Alhena,24 Gem/24Gam Gem/Alhena/HD 47105/HIP 31681/HR 2421/HYG 31601/MN 46/γ Gem,Alhena,γ Gem,24 Gem,Gem,6.628528,16.399252,196.77361121199675,4.452542605857099,-2.04,-66.92,-13.0,33.5121,1.93,,,0.001,A0IV,165.34840121711517,-5.266162,31.714389,9.461403,1.91e-06,-9.5e-06,-1.418e-05,31601,,0,0
47,74956,3485,42913,Gl 321.3A,Alsephina,Alsephina/Del Vel/Gl 321.3A/HD 74956/HIP 42913/HR 3485/HYG 42794/MN 47/δ Vel,Alsephina,δ Vel,,Vel,8.745059,-54.708821,272.0787810144448,-7.370925880232914,28.78,-104.14,2.2,24.6975,1.93,1.939,1.929,0.043,A1V,89.78421709097269,-9.394033,10.739813,-20.158771,3.25e-06,-8.95e-06,-9.04e-06,42794,Gl 321.3,1,1
48,193924,7790,100751,,Peacock,Alp Pav/HD 193924/HIP 100751/HR 7790/HYG 100424/MN 48/Peacock/α Pav,Peacock,α Pav,,Pav,20.427459,-56.73509,340.90432510915775,-35.193096346567664,7.71,-86.15,2.0,54.8246,1.94,,,-0.118,B2IV,438.5306977749856,17.850262,-24.200974,-45.841245,-9.05e-06,1.572e-05,-1.427e-05,100425,,0,0
49,8890,424,11767,,Polaris,1 UMi/1Alp UMi/HD 8890/HIP 11767/HR 424/HYG 11734/MN 49/Polaris/α UMi,Polaris,α UMi,1 UMi,UMi,2.52975,89.264109,123.28044153724132,26.46135100715496,44.22,-11.74,-17.0,132.626,1.97,1.993,1.953,0.636,F7:Ib-IIv SB,2495.743794831569,1.3431,1.047629,132.614909,-1.171e-05,2.692e-05,-1.748e-05,11734,,0,1
50,44743,2294,30324,,Mirzam,2 CMa/2Bet CMa/HD 44743/HIP 30324/HR 2294/HYG 30251/MN 50/Mirzam/β CMa,Mirzam,β CMa,2 CMa,CMa,6.378329,-17.955918,226.05984773848465,-14.268049566098464,-3.45,-0.47,34.0,151.0574,1.98,1.999,1.969,-0.24,B1II/III,3209.223768048436,-14.209731,142.995999,-46.568852,-7.5e-07,3.306e-05,-1.105e-05,30251,,0,1
51,81797,3748,46390,,Alphard,30 Hya/30Alp Hya/Alphard/HD 81797/HIP 46390/HR 3748/HYG 46259/MN 51/α Hya,Alphard,α Hya,30 Hya,Hya,9.45979,-8.658603,241.4881489764831,29.04545584980252,-14.49,33.25,-4.0,55.2792,1.99,,,1.44,K3III,425.7944535825967,-43.003468,33.722848,-8.322089,4.52e-06,1.39e-06,9.42e-06,46259,,0,0
52,12929,617,9884,Gl 84.3,Hamal,13 Ari/13Alp Ari/Gl 84.3/HD 12929/HIP 9884/HR 617/HYG 9861/Hamal/MN 52/α Ari,Hamal,α Ari,13 Ari,Ari,2.119555,23.462423,144.57837622046404,-36.20554205259861,190.73,-145.77,-14.4,20.1776,2.01,,,1.151,K2III,55.6672798150948,15.731986,9.751722,8.03361,-1.649e-05,1.173e-05,-1.894e-05,9861,,0,0
53,89484,4057,50583,,Algieba,41 Leo/41Gam1Leo/Algieba/HD 89484/HIP 50583/HR 4057/HYG 50440/MN 53/γ1 Leo,Algieba,γ1 Leo,41 Leo,Leo,10.332873,19.841489,216.5516204871729,54.65230243160131,310.77,-152.88,-37.0,39.8883,2.01,,,1.128,K0III,217.57049509257936,-34.002797,15.860719,13.53874,-2.24e-06,-6.526e-05,-4.065e-05,50440,,0,0
54,4128,188,3419,Gl 31,Diphda,16 Cet/16Bet Cet/Diphda/Gl 31/HD 4128/HIP 3419/HR 188/HYG 3413/MN 54/β Cet,Diphda,β Cet,16 Cet,Cet,0.72649,-17.986605,111.33009235400488,-80.6810681229757,232.79,32.71,13.3,29.5334,2.04,,,1.019,K0III,116.0913870126182,27.583638,5.310463,-9.119792,7.82e-06,3.545e-05,2.5e-07,3413,,0,0
55,175191,7121,92855,,Nunki,34 Sgr/34Sig Sgr/HD 175191/HIP 92855/HR 7121/HYG 92563/MN 55/Nunki/σ Sgr,Nunki,σ Sgr,34 Sgr,Sgr,18.92109,-26.296722,9.555916788388782,-12.435147374616932,13.87,-52.65,-11.0,69.8324,2.05,,,-0.134,B2.5V,642.6877173170194,14.950858,-60.794062,-30.937099,2.7e-07,1.858e-05,-1.1e-05,92564,,0,0
56,123139,5288,68933,Gl 539,Menkent,5 Cen/5The Cen/Gl 539/HD 123139/HIP 68933/HR 5288/HYG 68713/MN 56/Menkent/θ Cen,Menkent,θ Cen,5 Cen,Cen,14.111395,-36.369954,319.45382820745726,24.075953802679116,-519.29,-517.87,1.3,18.0343,2.06,,,1.011,K0IIIb,42.46195639463128,-12.358808,-7.624204,-10.694288,-1.9e-06,5.217e-05,-3.724e-05,68714,,0,0
57,358,15,677,,Alpheratz,21 And/21Alp And/Alpheratz/HD 358/HIP 677/HR 15/HYG 676/MN 57/α And,Alpheratz,α And,21 And,And,0.139791,29.090432,111.732175837535,-32.84334703472106,135.68,-162.95,-12.0,29.7442,2.07,2.083,2.063,-0.038,B9p,114.49855346901884,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,676,,0,1
58,6860,337,5447,Gl 53.3,Mirach,43 And/43Bet And/Gl 53.3/HD 6860/HIP 5447/HR 337/HYG 5436/MN 58/Mirach/β And,Mirach,β And,43 And,And,1.162194,35.620558,127.10749122821296,-27.102827246364175,175.59,-112.23,-0.8,60.5327,2.07,,,1.576,M0IIIvar,474.2419852602448,46.946371,14.741814,35.255129,2.23e-06,5.471e-05,-2.725e-05,5436,,0,0
59,38771,2004,27366,,Saiph,53 Ori/53Kap Ori/HD 38771/HIP 27366/HR 2004/HYG 27298/MN 59/Saiph/κ Ori,Saiph,κ Ori,53 Ori,Ori,5.795941,-9.669605,214.51433855833,-18.496471428464716,1.55,-1.2,21.0,198.4127,2.07,,,-0.168,B0.5Iavar,5095.654806081146,10.444137,195.314937,-33.326707,-3.7e-07,2.103e-05,-4.75e-06,27298,,0,0
